minute,s1_midterm 1_BVP,s2_midterm 1_BVP,s3_midterm 1_BVP,s4_midterm 1_BVP,s5_midterm 1_BVP,s6_midterm 1_BVP,s7_midterm 1_BVP,s8_midterm 1_BVP,s9_midterm 1_BVP,s10_midterm 1_BVP,test_progress,avg_BVP
0,-0.02535416666666667,-0.22,0.56,-0.2700000000000001,0.15,0.23999999999999996,-0.28,-0.14,0.11,0.0,0.0,0.012464583333333324
1,0.005171875,0.4799999999999999,0.7099999999999999,-0.18,-0.49,0.56,-0.29,-0.33,-0.02,-0.22,0.011111111111111112,0.022517187499999983
2,5.989583333333379e-05,-0.29,-0.64,-1.04,1.6699999999999997,-0.13,-0.02,-0.15,-0.58,0.32,0.022222222222222223,-0.0859940104166667
3,0.003872395833333333,0.11999999999999998,-0.43,0.57,0.63,-0.87,0.23999999999999996,-0.82,0.11999999999999998,-0.61,0.03333333333333333,-0.10461276041666667
4,0.001859374999999999,-0.35,-0.49,-1.31,-0.45,0.26,0.28,0.51,0.29,-0.66,0.044444444444444446,-0.1918140625
5,0.005674479166666666,-0.69,0.22,0.95,-0.43,1.06,-0.02,0.04,0.25,0.44,0.05555555555555555,0.18256744791666665
6,0.0016614583333333327,-0.68,0.36,0.85,-0.05999999999999999,0.23999999999999996,-0.68,0.04,0.67,0.59,0.06666666666666667,0.1331661458333333
7,-0.0005885416666666673,-0.68,0.74,0.61,0.28,0.31,0.1,0.8,-0.26,1.16,0.07777777777777778,0.3059411458333333
8,0.0023046875000000003,0.23999999999999996,-0.56,0.14,-0.55,-0.23999999999999996,0.14,-0.32,0.33,-0.78,0.08888888888888889,-0.15976953124999999
9,0.001065104166666667,1.05,0.1,-0.53,1.57,0.25,-0.01,0.11,-0.37,-0.05999999999999999,0.1,0.21110651041666667
10,0.0020859375000000006,0.43,0.93,0.4799999999999999,-0.11999999999999998,0.01,0.3,0.26,0.11999999999999998,0.36,0.1111111111111111,0.27720859375000007
11,0.00038020833333333347,0.69,0.13,0.19,-0.49,0.13,0.16,0.86,-0.04,-0.41,0.12222222222222222,0.12203802083333334
12,0.0004687499999999995,-0.11,-0.5,0.91,0.45,0.11,1.03,0.41,-0.45,-0.46,0.13333333333333333,0.13904687500000004
13,-0.0008828125000000001,-0.62,0.76,0.4,-0.23,0.67,0.11,-0.11,-0.01,0.28,0.14444444444444443,0.12491171875
14,-0.0005286458333333335,-0.18,-0.029999999999999995,0.57,-0.55,-0.25,-0.14,-0.35,-0.15,0.05999999999999999,0.15555555555555556,-0.10205286458333333
15,-0.0005859374999999998,-0.35,0.56,-0.17,-0.57,-0.35,-0.62,-0.28,-0.35,0.2,0.16666666666666666,-0.19305859374999998
16,0.0018307291666666665,1.06,-0.09,0.11,0.22,-0.07,0.0,0.36,-0.04,0.23,0.17777777777777778,0.17818307291666663
17,-0.0018359375000000005,0.35,0.15,-0.1,-0.29,0.44,-0.26,-0.7900000000000001,0.95,-0.47,0.18888888888888888,-0.0021835937500000123
18,0.0032265625000000003,-0.23999999999999996,0.33,-0.42,-1.11,0.84,0.7900000000000001,0.07,0.41,0.44,0.2,0.11132265625
19,-0.000856770833333334,-0.43,0.029999999999999995,-0.22,0.07,0.17,0.23,-0.18,-0.51,-0.04,0.2111111111111111,-0.08808567708333334
20,0.0009218749999999998,-0.05999999999999999,-0.85,0.86,0.51,0.33,0.36,0.61,-0.6,0.68,0.2222222222222222,0.18409218749999998
21,-0.0006588541666666666,0.05,-0.04,0.42,-0.05999999999999999,0.1,-0.69,1.32,-0.9599999999999999,-0.73,0.23333333333333334,-0.05906588541666665
22,-0.0005442708333333337,1.23,0.61,-0.4,0.5400000000000001,-0.63,0.25,-1.01,0.29,-0.029999999999999995,0.24444444444444444,0.08494557291666668
23,-0.0004479166666666666,0.18,0.56,-0.31,-0.14,0.34,-0.04,0.14,-0.41,0.37,0.25555555555555554,0.06895520833333332
24,0.0026953124999999976,-0.23999999999999996,-4.0,0.92,-0.17,-0.92,-0.34,-0.55,-0.37,-0.72,0.26666666666666666,-0.63873046875
25,-0.0017682291666666673,-0.3,3.02,-0.1,0.57,-1.32,-0.23,-0.1,1.4,-0.94,0.2777777777777778,0.19982317708333333
26,0.0006197916666666666,0.75,-0.95,-0.33,0.94,-0.57,-1.1,-0.13,-0.19,-0.59,0.28888888888888886,-0.2169380208333333
