minute,s1_midterm 1_BVP,s2_midterm 1_BVP,s3_midterm 1_BVP,s4_midterm 1_BVP,s5_midterm 1_BVP,s6_midterm 1_BVP,s7_midterm 1_BVP,s8_midterm 1_BVP,s9_midterm 1_BVP,s10_midterm 1_BVP,test_progress,avg_BVP
27,-0.001776041666666666,-1.3300000000000003,-1.9199999999999997,-0.15,1.26,1.0,0.1,0.22,-0.51,-0.6,0.3,-0.19317760416666668
28,0.0007656250000000006,-0.95,0.42,-0.58,0.84,-0.28,-0.14,-0.7,-0.17,-0.1,0.3111111111111111,-0.1659234375
29,0.0009348958333333324,0.76,-0.05999999999999999,-0.21,-0.17,0.34,1.25,0.64,-0.53,0.76,0.32222222222222224,0.2780934895833333
30,0.0009322916666666651,-0.34,-0.6,-0.23999999999999996,-0.5400000000000001,-0.85,-0.2700000000000001,-0.08,-0.15,0.69,0.3333333333333333,-0.2379067708333334
31,-0.002760416666666668,1.04,-0.1,0.09,-0.52,0.01,0.78,-0.02,0.09,-2.31,0.34444444444444444,-0.09427604166666666
32,-0.001244791666666667,0.42,-0.04,0.83,0.35,-0.2700000000000001,0.74,-0.38,-0.18,0.46,0.35555555555555557,0.1928755208333333
33,0.0011953124999999995,-0.22,0.05999999999999999,-1.1699999999999997,-0.13,-0.92,-0.2,0.23999999999999996,0.22,0.39,0.36666666666666664,-0.17288046875
34,-0.000229166666666667,-1.06,0.83,-0.07,0.19,0.52,-0.77,-0.11,-0.01,-0.73,0.37777777777777777,-0.12102291666666667
35,0.0004401041666666665,-0.52,0.15,0.17,0.57,0.77,0.4,0.62,0.68,0.33,0.3888888888888889,0.3170440104166667
36,0.0005234374999999996,-0.46,-0.5400000000000001,-0.74,0.4,0.78,-0.18,-0.07,-0.36,0.35,0.4,-0.08194765625000003
37,0.0008906249999999997,-0.78,0.53,-0.76,-1.27,-0.45,0.37,-0.22,-0.08,-0.53,0.4111111111111111,-0.3189109375
38,-0.0010494791666666675,0.84,-0.47,0.35,0.029999999999999995,-0.19,-0.33,-0.3,0.26,0.2,0.4222222222222222,0.03889505208333334
39,0.0018203125,0.05,0.72,-0.33,0.33,0.26,0.65,-0.2,-0.08,0.31,0.43333333333333335,0.17118203124999998
40,-0.00010416666666666707,-0.15,-0.36,0.46,0.21,0.15,-0.95,-0.55,0.77,0.22,0.4444444444444444,-0.02001041666666665
41,-0.001708333333333333,-0.77,-0.59,-1.6,-0.11,-0.19,-0.34,0.52,1.47,-0.19,0.45555555555555555,-0.18017083333333328
42,0.0007994791666666671,-1.36,0.07,0.02,0.4,-0.7,-0.56,-0.13,0.8,0.2700000000000001,0.4666666666666667,-0.11892005208333331
43,-0.000276041666666667,-0.34,-0.76,1.39,-0.56,0.08,-0.81,0.26,0.53,-0.26,0.4777777777777778,-0.04702760416666667
44,-0.0003203125,-0.41,-0.2700000000000001,10.46,0.04,0.78,0.86,-0.46,-1.12,-0.97,0.4888888888888889,0.8909679687499997
45,0.001497395833333333,0.08,-0.74,-0.7099999999999999,-0.5400000000000001,-0.87,-0.05,0.11999999999999998,0.04,-0.4799999999999999,0.5,-0.31485026041666664
46,-0.0006041666666666665,0.92,1.06,1.31,-0.14,-0.17,-0.5,0.09,-0.33,0.3,0.5111111111111111,0.25393958333333333
47,0.0002473958333333339,-0.15,-0.26,-1.44,0.19,0.6,-0.57,0.029999999999999995,0.4,-0.07,0.5222222222222223,-0.12697526041666662
48,-0.0009192708333333329,0.63,0.64,-1.0800000000000003,1.68,-0.23,-0.13,0.29,5.62,0.1,0.5333333333333333,0.7519080729166666
49,0.0007630208333333329,-0.28,1.73,2.28,-21.08,-0.4,-0.23999999999999996,0.05999999999999999,-30.77,-0.43,0.5444444444444444,-4.912923697916666
50,0.0002109375000000002,-0.31,-29.5,2.11,10.17,-0.34,-0.56,-0.2,-1.15,-0.14,0.5555555555555556,-1.9919789062499997
51,0.025294270833333334,1.13,-10.140000000000002,-21.74,-7.29,0.95,-0.25,0.16,1.34,-0.35,0.5666666666666667,-3.616470572916667
52,-0.02147395833333336,0.25,-53.77,-1.02,-1.61,-0.2,0.58,-0.08,0.52,0.86,0.5777777777777777,-5.449147395833334
53,-0.005690104166666667,-1.0,-39.48,0.05999999999999999,6.12,-0.49,-0.32,-0.57,-0.13,0.94,0.5888888888888889,-3.4875690104166672
54,0.0022369791666667035,0.9,-70.76,-5.929999999999999,-0.07,-0.7099999999999999,0.35,-0.49,-0.93,0.0,0.6,-7.763776302083332
55,-0.023632812499999992,-0.17,0.67,-0.84,3.35,-0.23,7.4,-6.25,-0.02,7.39,0.6111111111111112,1.12763671875
56,0.026598958333333332,-0.63,-1.5800000000000003,0.14,0.23,-0.93,25.59,-1.43,0.04,-2.57,0.6222222222222222,1.888659895833333
57,-0.007898437500000004,0.59,0.32,-0.2,-0.99,0.51,2.1,0.5,0.81,-0.87,0.6333333333333333,0.27621015625
58,0.009270833333333351,0.17,-0.07,-0.39,-0.23,0.11,-0.5,-0.16,0.4,-5.2,0.6444444444444445,-0.5860729166666667
59,0.000950520833333331,0.75,1.3,1.29,0.05999999999999999,-0.94,-24.2,-0.61,-0.13,1.98,0.6555555555555556,-2.0499049479166667
60,-0.00518489583333334,-0.38,-3.24,-0.4,-0.16,-1.05,5.44,0.19,0.29,0.05,0.6666666666666666,0.07348151041666665
61,-0.0003619791666666546,1.51,-16.87,0.86,1.4,3.73,-8.59,0.58,0.32,0.21,0.6777777777777778,-1.6850361979166668
62,0.0009062500000000025,-33.45,-0.64,-1.57,0.51,-0.34,-0.53,0.23999999999999996,-0.01,8.25,0.6888888888888889,-2.7539093750000005
63,0.0014973958333333445,-18.71,-12.91,0.88,0.2,4.22,0.59,1.78,-0.029999999999999995,-0.07,0.7,-2.404850260416667
64,-0.00036458333333332603,0.74,-5.3,1.13,-13.72,-1.96,-0.23,-0.81,-0.99,0.99,0.7111111111111111,-2.0150364583333333
65,-0.0009531249999999995,-3.78,-0.23,-0.36,-5.47,-2.83,0.15,-0.18,9.16,0.77,0.7222222222222222,-0.27709531249999997
66,0.0009453125000000016,4.3,-2.68,-0.52,-0.14,0.57,-0.58,0.19,-0.49,-30.5,0.7333333333333333,-2.98490546875
67,-0.023630208333333336,28.3,0.65,-2.27,8.6,-1.15,0.13,0.74,-0.44,4.84,0.7444444444444445,3.9376369791666677
68,0.0176953125,0.95,46.81000000000001,0.5400000000000001,-0.05999999999999999,-10.54,0.02,0.36,-3.57,9.1,0.7555555555555555,4.3627695312500006
69,0.0018854166666666678,-2.14,0.13,-0.21,-5.63,0.58,0.56,3.5899999999999994,-1.09,-9.54,0.7666666666666667,-1.3748114583333333
70,0.0027786458333333252,0.7900000000000001,0.9,-1.03,-2.82,-27.71,-0.17,-0.01,0.14,7.29,0.7777777777777778,-2.261722135416667
71,-0.0011119791666666656,0.29,5.81,-0.21,0.13,-0.5,0.22,1.02,-0.23,-0.42,0.7888888888888889,0.6108888020833332
72,-0.0013125000000000005,-0.41,-1.91,-0.029999999999999995,-1.22,-0.09,-0.05999999999999999,0.13,0.99,-0.05999999999999999,0.8,-0.26613125
73,0.003583333333333339,-0.13,25.9,0.56,0.51,0.59,-1.98,0.56,0.18,0.34,0.8111111111111111,2.653358333333333
74,-0.003710937500000002,0.17,-0.33,-0.04,1.65,0.66,0.7099999999999999,-1.74,-0.11,-0.11999999999999998,0.8222222222222222,0.08462890625000001
75,-0.021140625,-0.33,-19.91,0.28,-0.7099999999999999,0.32,-0.15,1.54,-0.4,0.38,0.8333333333333334,-1.9001140624999997
76,0.017020833333333332,0.62,-1.28,-0.2700000000000001,-0.65,0.86,0.1,-0.09,-0.11999999999999998,0.22,0.8444444444444444,-0.05929791666666666
77,0.009083333333333332,-20.95,-0.73,0.19,0.32,-0.59,1.37,-0.44,-0.01,0.5400000000000001,0.8555555555555555,-2.029091666666667
78,-0.0035520833333333346,0.5,-5.37,-2.38,1.15,-0.82,1.38,0.89,-0.75,0.66,0.8666666666666667,-0.47435520833333344
79,-0.00017708333333333012,-0.59,-0.92,0.75,-0.13,-0.67,-1.18,-0.53,0.66,0.37,0.8777777777777778,-0.22401770833333332
80,0.009278645833333337,0.61,-0.07,0.46,-1.07,-0.11999999999999998,0.2700000000000001,1.73,-0.39,-40.8,0.8888888888888888,-3.937072135416666
81,-0.013572916666666664,1.6699999999999997,-18.04,0.13,11.94,-0.11,-0.75,-0.7,-0.13,0.38,0.9,-0.5623572916666667
82,0.003361979166666667,-0.07,-0.36,0.76,0.59,-0.4799999999999999,3.31,0.2700000000000001,-4.35,0.58,0.9111111111111111,0.025336197916666758
83,0.0020468749999999988,0.75,-0.38,4.429999999999999,-0.28,-1.82,-0.57,-0.99,0.44,-0.04,0.9222222222222223,0.1542046874999998
84,-0.0015468749999999975,0.21,15.890000000000002,1.0800000000000003,-0.25,-0.7900000000000001,-1.78,-0.13,0.23,0.05,0.9333333333333333,1.4508453125000007
85,-0.0006822916666666625,13.98,0.35,0.63,-0.36,0.65,0.7099999999999999,0.84,0.21,-0.46,0.9444444444444444,1.6549317708333333
86,0.0028750000000000047,0.37,0.19,-0.49,0.2700000000000001,0.9,-0.67,-0.64,1.7,-5.28,0.9555555555555556,-0.3647125
87,-0.0030286458333333333,-0.14,1.01,-0.88,0.2,0.53,2.32,0.81,-0.63,-2.2,0.9666666666666667,0.10169713541666665
88,0.0011614583333333334,-0.36,0.64,-0.26,1.28,0.73,0.37,-0.34,1.94,0.029999999999999995,0.9777777777777777,0.4031161458333334
89,0.0019739583333333362,0.26,-0.19,1.39,-0.72,1.01,-0.16,-0.73,-0.11999999999999998,-0.63,0.9888888888888889,0.011197395833333346
90,-0.002434895833333332,-2.88,0.5400000000000001,-0.09,0.14,-12.35,-0.68,-0.58,0.7099999999999999,-0.14,1.0,-1.5332434895833333
