minute,s1_midterm 2_BVP,s2_midterm 2_BVP,s3_midterm 2_BVP,s4_midterm 2_BVP,s5_midterm 2_BVP,s6_midterm 2_BVP,s7_midterm 2_BVP,s8_midterm 2_BVP,s9_midterm 2_BVP,s10_midterm 2_BVP,test_progress,avg_BVP
42,-0.12973958333333332,5.85,-3.12,111.66,-9.29,0.7900000000000001,-38.08,83.59,-22.69,-3.25,0.4666666666666667,12.533026041666668
43,0.11166927083333346,-12.52,50.36,-16.24,54.32,21.61,-0.57,6.13,39.02,12.75,0.4777777777777778,15.497166927083333
44,0.07207291666666663,18.2,115.59,67.35,34.98,-551.37,-79.55,109.78,109.66,-9.95,0.4888888888888889,-18.52379270833333
45,0.12251822916666666,-18.77,100.87999999999998,-36.61,22.73,-10.84,-864.38,-19.92,-305.32,-10.56,0.5,-114.26674817708333
46,-0.13939322916666663,-14.71,239.54,-42.99,10.42,64.35,45.98,61.97,30.93,-5.03,0.5111111111111111,39.03206067708333
47,-0.04725781250000003,93.85,-144.15,11.41,-8.56,-17.46,1.21,26.85,4.64,1.98,0.5222222222222223,-3.0277257812500014
48,0.0018463541666666518,-1.19,-12.109999999999998,46.68999999999999,5.28,-10.04,-118.66,-4.16,-6.04,0.74,0.5333333333333333,-9.948815364583334
49,-0.004257812499999993,-0.51,-49.5,-98.48,-19.2,3.22,-9.74,39.11,-5.66,-87.14,0.5444444444444444,-22.79042578125
50,-0.2206380208333333,3.07,-42.0,154.28,-0.1,-8.53,0.14,-77.06,6.63,-13.21,0.5555555555555556,2.2999361979166677
51,0.34225,29.469999999999995,-805.99,23.06,2.36,-2.32,24.19,145.18,-4.34,3.36,0.5666666666666667,-58.46877500000001
52,-0.05386197916666666,3.76,693.4,143.6,-24.62,52.45,19.49,-227.12,231.15,-33.68,0.5777777777777777,85.83761380208334
53,-0.018567708333333356,-0.82,0.82,66.61,17.55,22.43,22.87,-83.85,-28.280000000000005,2.92,0.5888888888888889,2.023143229166667
54,0.01773958333333335,-3.75,0.37,48.93999999999999,8.2,-1.76,17.52,-50.42,-72.86,21.07,0.6,-3.2672260416666665
55,-0.01650000000000003,7.52,7.67,60.48,5.91,1.1,-98.84,73.89,-23.42,3.7,0.6111111111111112,3.7993499999999982
56,-0.004354166666666674,21.030000000000005,2.08,-199.17,-4.74,26.66,259.42,-77.81,120.45,-14.06,0.6222222222222222,13.385564583333338
57,-0.03455208333333334,4.55,-77.72,-72.46,-30.09,2.26,725.44,-126.72,4.87,8.0,0.6333333333333333,43.80954479166667
58,0.008619791666666661,1.54,-16.24,8.98,-1.87,2.87,-2.23,-48.32,40.39,6.78,0.6444444444444445,-0.8091380208333334
59,-0.00670312500000003,12.390000000000002,-9.2,-468.2300000000001,-18.86,19.54,-33.03,-20.24,-17.01,20.84,0.6555555555555556,-51.3806703125
60,-0.05400520833333332,-1.66,-62.2,-115.64,-1.76,6.81,8.24,62.4,8.78,-14.29,0.6666666666666666,-10.93740052083333
61,0.08738020833333332,-27.13,-12.23,55.25,-24.61,-23.219999999999995,-539.83,65.16,22.87,-28.34,0.6777777777777778,-51.19926197916668
62,-0.012789062500000007,0.4,-13.26,-185.45,32.86,5.7,35.18,120.47,-42.84,6.26,0.6888888888888889,-4.069278906250002
63,0.051453125,0.9,-15.84,-64.02,-12.63,7.22,-43.88,201.95,-22.38,194.57,0.7,24.594145312499997
64,-0.10780468749999998,-4.05,7.34,11.12,-5.0,-19.67,100.71,-36.4,-40.54,49.02,0.7111111111111111,6.24221953125
65,0.177578125,-34.11,-122.11,218.33,35.64,-0.51,132.52,199.47,3.67,50.71,0.7222222222222222,48.3787578125
66,-0.2238541666666666,13.8,-7.320000000000001,-20.45,-25.43,-6.91,-62.5,-152.31,-11.97,-93.44,0.7333333333333333,-36.67538541666667
67,0.060684895833333335,-19.99,-0.53,15.01,7.75,27.77,-222.41,69.65,469.83,13.77,0.7444444444444445,36.09106848958333
68,0.041367187500000006,-14.17,46.43999999999999,150.16,-15.0,-12.85,-17.94,-19.07,6.77,35.65,0.7555555555555555,16.00313671875
69,0.006476562499999991,-59.7,-2.45,-13.87,-8.03,15.24,-2.92,-30.030000000000005,-81.87999999999998,-24.57,0.7666666666666667,-20.82035234375
70,-0.04275781250000002,-147.12,-37.96,-359.54,192.97,-39.42,-16.85,74.48,-47.04,-2.5899999999999994,0.7777777777777778,-38.31127578125001
71,-0.01167447916666668,76.79,-51.45,11.96,8.53,2.32,-1.07,-14.08,2.75,13.75,0.7888888888888889,4.948832552083333
72,-0.020447916666666698,63.61,3.04,0.56,-7.04,-11.24,-383.2,62.88,10.27,-99.3,0.8,-36.04404479166667
73,-0.0225807291666667,-58.93999999999999,-8.58,6.79,-72.83,9.51,-55.2,-512.16,-16.91,10.21,0.8111111111111111,-69.81325807291665
74,0.08586458333333333,3.69,-22.62,-73.44,-27.79,-4.51,-152.34,-49.32,76.24,-7.98,0.8222222222222222,-25.79841354166667
75,-0.06470312499999996,-5.33,49.18999999999999,-59.71,9.81,3.13,48.84,-152.58,-0.38,-24.18,0.8333333333333334,-13.127470312500003
76,0.4905651041666667,-0.01,-294.18,-185.9,-33.6,0.51,-290.4,-143.88,-47.9,6.679999999999999,0.8444444444444444,-98.81894348958335
77,-0.3998854166666666,-2.3399999999999994,-3.39,-115.78,33.79,-7.24,-191.59,275.44,-57.95,8.46,0.8555555555555555,-6.0999885416666695
