minute,s1_midterm 2_HR,s2_midterm 2_HR,s3_midterm 2_HR,s4_midterm 2_HR,s5_midterm 2_HR,s6_midterm 2_HR,s7_midterm 2_HR,s8_midterm 2_HR,s9_midterm 2_HR,s10_midterm 2_HR,test_progress,avg_HR
33,112.11316666666667,112.75,92.33,102.62999999999998,109.9,107.12999999999998,113.3,136.68,77.77,140.27,0.36666666666666664,110.48731666666666
34,121.52483333333333,114.6,99.67,95.12000000000002,107.27,105.47,127.6,105.6,81.6,128.22,0.37777777777777777,108.66748333333335
35,86.30916666666667,112.25,81.95,84.25,104.02,85.18,96.37999999999998,120.0,85.67,165.22,0.3888888888888889,102.12291666666667
36,80.633,109.03,80.08,104.05,106.35,75.72,75.2,88.92,115.87000000000002,95.62000000000002,0.4,93.1473
37,79.76833333333335,87.02,107.68,107.27,115.0,79.52,83.9,83.53,125.92,83.05,0.4111111111111111,95.26583333333332
38,74.9225,101.0,104.22,81.05,104.37999999999998,73.3,99.78,87.27,111.37000000000002,90.58,0.4222222222222222,92.78725
39,83.8725,100.97,116.33,78.03,102.08,80.97,83.37000000000002,106.68,95.75,74.7,0.43333333333333335,92.27525
40,75.83449999999999,92.52,112.68,89.7,98.47,92.27,76.33,117.78,96.28,92.17,0.4444444444444444,94.40344999999999
41,85.239,106.12000000000002,84.27,94.52,108.77,78.48,72.23,100.77,96.1,79.43,0.45555555555555555,90.59290000000001
42,112.0685,104.53,84.55,95.07,112.82,70.57,91.17,91.4,89.62000000000002,84.87000000000002,0.4666666666666667,93.66685
43,105.83683333333333,104.97,80.4,83.45,103.07,80.98,105.57,88.48,96.55,88.58,0.4777777777777778,93.78868333333334
44,104.94866666666667,109.35,77.82,81.47,87.12000000000002,87.4,78.95,92.77,100.12000000000002,89.95,0.4888888888888889,90.98986666666667
45,101.58466666666666,102.3,72.2,84.67,107.45,85.18,127.68,91.12000000000002,86.23,80.92,0.5,93.93346666666666
46,89.75083333333333,102.1,83.1,75.8,107.02,109.87000000000002,103.15,79.17,84.42,88.17,0.5111111111111111,92.25508333333332
47,65.624,94.03,73.05,74.5,110.35,93.52,79.82,82.6,101.37999999999998,91.08,0.5222222222222223,86.59540000000001
48,70.42483333333332,95.1,79.22,93.03,108.73,77.75,109.83,81.73,114.12999999999998,88.37000000000002,0.5333333333333333,91.83148333333335
49,85.51566666666666,81.43,93.97,103.78,113.58,75.82,99.05,88.35,83.93,87.57,0.5444444444444444,91.29956666666665
50,82.38000000000001,71.18,105.27,91.55,107.95,86.52,95.27,122.82,92.32,86.02,0.5555555555555556,94.128
