minute,s1_final_HR,s2_final_HR,s3_final_HR,s4_final_HR,s5_final_HR,s6_final_HR,s7_final_HR,s8_final_HR,s9_final_HR,s10_final_HR,test_progress,avg_HR
21,121.1285,131.38,99.47,90.07,98.28,106.62000000000002,87.82,96.58,117.05,73.5,0.11666666666666667,102.18984999999999
22,111.92,124.48,76.82,95.22,109.32,95.17,94.92,101.18,122.8,78.22,0.12222222222222222,101.005
23,93.30683333333333,106.33,91.87000000000002,90.98,85.73,100.22,88.02,103.9,118.2,81.92,0.12777777777777777,96.04768333333334
24,86.5445,120.55,110.12999999999998,78.57,100.52,84.12000000000002,82.8,105.87999999999998,114.27,89.42,0.13333333333333333,97.28044999999999
25,86.15083333333334,104.92,98.22,109.6,94.85,85.55,94.03,79.92,107.1,86.52,0.1388888888888889,94.68608333333333
26,89.3905,86.98,100.32,82.92,75.78,90.7,90.4,98.82,105.12999999999998,84.08,0.14444444444444443,90.45205000000001
27,79.68383333333333,104.92,96.65,84.43,60.03,96.4,74.48,129.32,89.37000000000002,73.02,0.15,88.83038333333333
28,78.81733333333334,114.18,75.18,74.87000000000002,92.37999999999998,89.15,81.22,131.35,92.75,88.15,0.15555555555555556,91.80473333333335
29,81.96466666666667,103.22,88.3,86.47,94.27,90.15,68.37999999999998,101.68,96.07,85.07,0.16111111111111112,89.55746666666664
30,78.7295,99.45,80.22,109.27,82.83,91.42,82.05,90.35,101.62999999999998,75.35,0.16666666666666666,89.12995
31,84.182,110.32,73.47,91.8,80.87999999999998,91.42,82.45,79.15,89.5,79.28,0.17222222222222222,86.2452
32,82.36466666666666,114.0,144.77,74.9,91.68,87.52,76.83,73.12000000000002,86.85,83.58,0.17777777777777778,91.56146666666669
33,71.90816666666666,97.0,127.23,77.55,104.95,83.97,81.03,79.47,95.07,71.2,0.18333333333333332,88.93781666666666
34,68.58666666666666,100.58,79.7,78.83,106.68,84.62999999999998,73.87999999999998,81.12000000000002,88.75,78.23,0.18888888888888888,84.09866666666667
35,114.47133333333333,109.42,98.72,85.02,106.47,78.68,86.8,79.98,86.25,69.87999999999998,0.19444444444444445,91.56913333333333
36,123.00633333333333,108.0,66.33,74.68,96.32,78.8,73.27,85.72,95.77,82.27,0.2,88.41663333333332
37,120.1035,113.68,89.2,73.9,94.05,78.62000000000002,83.45,81.52,88.43,81.9,0.20555555555555555,90.48535000000001
