minute,s1_midterm 1_HR,s2_midterm 1_HR,s3_midterm 1_HR,s4_midterm 1_HR,s5_midterm 1_HR,s6_midterm 1_HR,s7_midterm 1_HR,s8_midterm 1_HR,s9_midterm 1_HR,s10_midterm 1_HR,test_progress,avg_HR
24,123.65333333333334,117.82,117.72,155.67,157.13,105.68,139.63,102.03,132.15,162.95,0.26666666666666666,131.44333333333333
25,114.01233333333333,112.33,107.83,181.65,145.75,101.87000000000002,163.05,109.9,117.7,158.98,0.2777777777777778,131.30723333333336
26,108.57133333333333,107.65,109.0,134.82,108.77,107.05,176.05,101.82,108.05,142.17,0.28888888888888886,120.39513333333332
27,106.95833333333333,108.87999999999998,107.32,108.75,108.33,106.0,163.63,97.9,109.03,135.12,0.3,115.19183333333334
28,108.78016666666667,110.3,87.87000000000002,112.87999999999998,109.03,93.55,152.48,105.8,106.53,121.35,0.3111111111111111,110.85701666666667
29,95.47216666666667,134.68,86.95,126.75,100.7,79.15,101.48,91.62000000000002,104.53,104.08,0.32222222222222224,102.54121666666667
30,85.40983333333334,120.27,105.52,134.22,87.37000000000002,106.58,102.4,82.12999999999998,109.9,131.88,0.3333333333333333,106.56798333333333
31,91.07466666666667,78.78,116.98,114.32,103.62000000000002,164.3,99.72,93.53,116.02,176.73,0.34444444444444444,115.50746666666666
32,122.312,103.1,154.0,99.85,115.85,168.02,101.3,103.97,111.93,169.37,0.35555555555555557,124.97019999999998
33,118.14349999999999,110.37000000000002,152.23,112.93,104.85,137.97,103.73,129.33,119.57,188.6,0.36666666666666664,127.77235
34,126.72049999999999,140.57,141.38,107.02,128.07,135.35,121.8,126.5,113.37000000000002,142.88,0.37777777777777777,128.36605
35,118.09733333333334,154.98,108.65,109.85,119.35,108.58,107.15,125.87000000000002,108.85,126.78,0.3888888888888889,118.81573333333333
36,108.22783333333334,189.23,104.65,106.1,142.38,109.0,156.07,111.4,102.78,107.3,0.4,123.71378333333334
37,104.53150000000001,167.95,106.97,131.72,149.52,136.3,167.72,130.22,109.28,96.98,0.4111111111111111,130.11915000000002
38,103.06216666666666,185.55,105.0,159.13,177.4,150.05,179.72,123.62000000000002,149.3,128.87,0.4222222222222222,146.1702166666667
39,127.28266666666667,189.57,103.68,191.55,180.58,168.1,185.28,129.97,117.6,108.4,0.43333333333333335,150.20126666666667
40,141.22083333333333,171.13,103.18,198.23,195.27,161.68,186.65,141.7,147.78,152.38,0.4444444444444444,159.92208333333332
41,136.17133333333334,164.82,108.68,166.63,149.97,140.33,186.97,141.7,164.52,141.4,0.45555555555555555,150.11913333333334
42,139.60716666666667,190.88,105.28,146.02,129.82,133.88,161.97,128.17,124.32,152.75,0.4666666666666667,141.26971666666665
43,140.7195,186.42,114.33,164.48,135.73,114.5,150.63,108.07,113.37000000000002,151.33,0.4777777777777778,137.95795
44,137.47783333333334,153.13,102.47,113.67,142.32,122.52,147.92,103.92,106.43,173.0,0.4888888888888889,130.2857833333333
45,132.65633333333332,153.58,109.4,96.62999999999998,120.8,117.83,120.18,121.47,144.63,172.9,0.5,129.00763333333333
46,142.86316666666667,173.88,119.12000000000002,98.97,112.2,111.8,110.37000000000002,130.07,141.58,161.2,0.5111111111111111,130.20531666666665
47,176.37283333333335,206.12,123.78,92.03,109.3,98.62000000000002,136.98,146.77,126.18,180.22,0.5222222222222223,139.63728333333333
48,160.49583333333334,177.38,98.07,104.87000000000002,104.47,97.83,161.97,168.2,146.53,153.62,0.5333333333333333,137.34358333333336
49,176.74249999999998,149.78,82.37999999999998,78.62000000000002,108.72,114.62000000000002,161.07,166.72,138.98,146.8,0.5444444444444444,132.44324999999998
50,190.79566666666668,113.9,74.6,78.95,127.02,129.48,152.07,147.97,103.42,113.32,0.5555555555555556,123.15256666666667
51,176.5,135.1,78.1,77.18,95.2,139.87,127.27,135.02,98.22,108.12999999999998,0.5666666666666667,117.059
52,129.41666666666666,115.27,75.0,99.5,76.1,156.22,96.02,113.02,88.7,106.37000000000002,0.5777777777777777,105.56166666666668
53,116.35516666666668,108.65,80.32,90.35,78.37999999999998,163.18,88.18,114.75,130.62,117.03,0.5888888888888889,108.78151666666668
54,109.59216666666666,136.58,79.8,106.27,79.5,164.68,94.72,135.05,124.95,127.87000000000002,0.6,115.90121666666668
55,98.49483333333333,146.03,84.25,147.5,74.73,110.55,77.68,130.5,131.77,117.67,0.6111111111111112,111.91748333333332
56,104.971,128.33,86.57,157.73,79.43,106.03,75.18,143.53,109.02,98.68,0.6222222222222222,108.9471
57,88.58433333333333,105.97,95.57,116.03,96.58,80.55,78.37999999999998,128.3,93.85,82.43,0.6333333333333333,96.62443333333333
58,101.84083333333334,113.23,112.43,124.48,98.1,88.93,96.7,102.57,98.25,81.45,0.6444444444444445,101.79808333333332
59,77.69333333333334,106.9,101.18,131.05,104.98,117.37999999999998,104.08,100.42,81.05,87.33,0.6555555555555556,101.20633333333333
60,77.1035,95.35,75.92,89.35,116.42,95.85,101.32,94.45,78.75,121.12999999999998,0.6666666666666666,94.56435
61,89.76849999999999,108.1,76.87000000000002,88.43,100.32,119.65,110.83,108.0,87.97,97.22,0.6777777777777778,98.71585000000002
62,82.50949999999999,109.12999999999998,77.47,96.45,101.97,112.15,104.45,113.62999999999998,85.8,100.47,0.6888888888888889,98.40295
63,82.09483333333333,88.1,82.92,82.83,82.42,93.87999999999998,106.65,107.53,63.22,76.73,0.7,86.63748333333334
64,64.72383333333333,93.52,78.42,75.12000000000002,85.73,90.03,98.47,104.62000000000002,74.68,72.58,0.7111111111111111,83.78938333333335
65,69.96900000000001,79.43,80.12000000000002,82.82,64.67,99.18,89.35,117.03,83.45,93.57,0.7222222222222222,85.9589
66,73.62666666666668,88.62999999999998,84.07,83.23,56.72,108.18,99.22,77.95,140.22,105.9,0.7333333333333333,91.77466666666666
67,76.56283333333334,76.65,111.55,80.42,86.73,114.65,97.68,84.57,138.28,76.17,0.7444444444444445,94.32628333333334
68,78.6365,91.05,80.28,92.77,98.1,101.27,90.82,85.12000000000002,108.67,113.65,0.7555555555555555,94.03665
69,80.8325,76.3,81.55,89.47,77.0,117.0,111.35,80.65,71.72,100.33,0.7666666666666667,88.62025000000001
70,84.643,84.85,77.47,86.92,120.27,116.03,114.07,94.1,80.17,90.77,0.7777777777777778,94.92929999999998
71,89.57133333333333,96.45,70.58,103.0,91.58,106.23,116.23,96.93,79.42,103.87999999999998,0.7888888888888889,95.38713333333332
72,86.65383333333332,106.73,90.48,72.05,76.48,95.8,109.05,98.55,77.43,103.98,0.8,91.72038333333333
73,82.32683333333333,102.72,106.12000000000002,72.25,80.15,108.35,102.2,75.82,108.37000000000002,77.78,0.8111111111111111,91.60868333333335
74,78.08633333333334,105.02,90.1,97.67,88.83,107.83,86.82,77.27,96.42,80.4,0.8222222222222222,90.84463333333333
75,75.35266666666666,96.8,79.62999999999998,113.62999999999998,88.58,103.55,76.4,68.65,99.02,90.0,0.8333333333333334,89.16126666666665
76,83.04833333333333,78.75,83.95,102.9,94.45,94.72,81.05,79.27,70.85,80.78,0.8444444444444444,84.97683333333332
77,89.69183333333334,85.85,71.95,97.73,106.67,105.32,93.37000000000002,82.62999999999998,98.77,90.57,0.8555555555555555,92.25518333333332
78,85.80483333333333,66.67,102.17,93.0,95.73,70.57,76.48,78.68,80.3,112.57,0.8666666666666667,86.19748333333332
79,83.94133333333333,106.62999999999998,86.57,66.78,69.6,65.65,90.57,81.05,66.75,157.07,0.8777777777777778,87.46113333333332
80,90.04466666666667,105.55,70.42,71.48,69.85,67.15,85.27,77.05,86.55,83.05,0.8888888888888888,80.64146666666666
81,87.75383333333335,108.05,79.1,57.3,90.42,66.67,92.35,85.53,88.12000000000002,101.28,0.9,85.65738333333333
82,89.22683333333333,87.62999999999998,77.58,72.72,110.53,65.18,96.5,73.98,77.15,109.8,0.9111111111111111,86.02968333333332
83,81.5505,102.53,82.33,79.93,104.3,70.68,73.98,79.0,113.62000000000002,68.25,0.9222222222222223,85.61705
84,87.07283333333334,70.05,86.07,95.9,84.15,75.33,95.78,68.62999999999998,93.48,69.1,0.9333333333333333,82.55628333333334
85,85.26666666666667,79.1,104.08,61.12,92.85,116.2,153.73,75.95,92.05,82.75,0.9444444444444444,94.30966666666667
86,77.74549999999999,78.97,94.4,80.37000000000002,89.07,125.33,134.82,68.27,92.37000000000002,79.37999999999998,0.9555555555555556,92.07255
87,67.29983333333334,88.62000000000002,110.7,96.07,104.53,89.52,94.1,98.57,90.87999999999998,96.1,0.9666666666666667,93.63898333333334
88,75.15783333333334,94.62000000000002,98.53,88.32,112.18,82.03,105.02,90.43,94.55,91.93,0.9777777777777777,93.27678333333333
89,79.22133333333333,101.62000000000002,107.22,80.47,117.4,98.5,113.03,87.83,85.78,64.4,0.9888888888888889,93.54713333333333
90,95.77766666666666,115.72,109.0,70.3,132.73,89.53,105.28,108.23,72.73,91.08,1.0,99.03776666666667
