minute,s1_midterm 1_HR,s2_midterm 1_HR,s3_midterm 1_HR,s4_midterm 1_HR,s5_midterm 1_HR,s6_midterm 1_HR,s7_midterm 1_HR,s8_midterm 1_HR,s9_midterm 1_HR,s10_midterm 1_HR,test_progress,avg_HR
0,102.39666666666668,98.98,163.02,155.07,190.42,166.83,108.98,108.33,133.67,103.5,0.0,133.11966666666666
1,115.1105,97.93,181.52,165.27,185.72,153.62,100.42,157.25,123.33,112.05,0.011111111111111112,139.22205
2,159.18933333333334,129.05,190.9,171.25,175.37,144.18,115.25,137.88,154.47,142.68,0.022222222222222223,152.02193333333335
3,184.20133333333334,131.95,196.25,171.67,150.78,128.0,128.72,142.98,133.3,147.63,0.03333333333333333,151.5481333333333
4,139.73333333333332,152.4,192.97,160.75,149.57,112.5,117.77,180.8,105.9,131.07,0.044444444444444446,144.34633333333335
5,111.75933333333334,155.27,177.48,178.12,126.12999999999998,108.8,123.37999999999998,199.77,124.92,135.33,0.05555555555555555,144.09593333333333
6,127.27966666666666,125.68,161.4,163.83,122.83,125.03,118.87999999999998,176.87,149.82,144.63,0.06666666666666667,141.62496666666667
7,145.81116666666668,127.35,158.4,156.23,141.9,111.8,127.12999999999998,178.6,132.52,115.82,0.07777777777777778,139.55611666666664
8,142.29283333333333,148.2,137.65,163.13,148.35,112.28,173.4,148.05,149.88,116.33,0.08888888888888889,143.95628333333335
9,152.65050000000002,149.95,119.42,178.52,169.62,119.0,149.12,131.43,147.85,115.48,0.1,143.30405000000002
10,142.01666666666668,155.98,127.83,130.52,165.58,119.97,136.4,129.72,140.62,112.62999999999998,0.1111111111111111,136.12666666666667
11,110.88866666666667,189.97,117.15,120.98,165.32,133.38,138.58,151.12,124.75,160.4,0.12222222222222222,141.25386666666668
12,105.72466666666666,159.43,119.77,119.17,139.68,147.6,144.62,172.25,139.52,164.42,0.13333333333333333,141.21846666666667
13,106.6855,131.47,131.07,133.98,135.65,137.88,117.78,179.23,181.73,141.0,0.14444444444444443,139.64755
14,115.33766666666666,118.05,136.05,119.68,174.43,139.85,118.5,169.22,168.5,125.78,0.15555555555555556,138.53976666666668
15,130.4985,119.12000000000002,111.45,107.08,135.18,113.93,141.52,181.0,144.18,103.0,0.16666666666666666,128.69585
16,109.68183333333333,178.57,107.17,131.13,111.02,114.22,133.45,178.55,150.83,126.12000000000002,0.17777777777777778,134.07418333333334
17,100.96016666666667,182.65,113.75,133.78,103.67,135.27,110.93,185.6,183.82,122.2,0.18888888888888888,137.26301666666666
18,114.17016666666667,184.4,106.6,144.6,100.83,161.5,125.12000000000002,176.53,178.77,129.25,0.2,142.17701666666667
19,120.94066666666666,189.35,120.78,145.65,129.62,148.78,141.22,140.07,161.82,103.8,0.2111111111111111,140.20306666666664
20,146.89183333333332,177.48,106.75,140.37,158.12,148.7,102.78,149.6,130.25,111.4,0.2222222222222222,137.2341833333333
21,156.31733333333335,152.78,146.28,155.0,159.0,129.27,117.85,143.17,115.12000000000002,123.72,0.23333333333333334,139.85073333333335
22,172.5935,188.55,156.25,145.6,164.82,106.32,132.05,118.55,112.83,154.4,0.24444444444444444,145.19635
23,159.67950000000002,164.95,153.52,138.07,140.73,110.32,142.52,124.95,117.62000000000002,178.9,0.25555555555555554,143.12595000000002
