Student,avg_stress_midterm_1,avg_stress_midterm_2,avg_stress_final,avg_hr_midterm_1,avg_bvp_midterm_1,avg_eda_midterm_1,avg_temp_midterm_1,avg_hr_midterm_2,avg_bvp_midterm_2,avg_eda_midterm_2,avg_temp_midterm_2,avg_hr_final,avg_bvp_final,avg_eda_final,avg_temp_final,midterm_1_grade,midterm_2_grade,final_grade
S1,46.67839061403391,47.93253663737013,49.214970834505614,103.10460519247985,-0.0007735446067139309,0.32599113040950056,26.41787757475455,110.98459561466572,0.0007248444747497752,0.11667541598383657,27.12868874172185,106.11701428082777,0.00032323210736648523,0.10296644282615432,26.184173959502058,78,82,182
S2,50.025564276039454,50.50389735833783,57.67763928841317,111.4502964261857,-0.0015207080070612983,0.16462143990820904,28.694296263846304,106.64387503603345,0.0005068216907710062,0.12566857383366045,27.87290779120226,119.89717111497157,0.0002912759665876197,0.07833499780950597,28.18183985396418,82,85,180
S3,45.88388216838845,46.88690655951481,50.03947051218617,105.67460176991149,-0.0016981351742772794,0.23669955241233903,26.7296591537186,97.40297577178585,0.0024746445663877104,0.5720808455869795,28.074363667423192,104.5060887924689,0.0005713696169932553,0.1697013244130319,26.508900270115888,77,90,188
S4,47.10360033098929,44.27873756643867,48.419419160816474,110.62642019683356,-0.00013002457251966675,0.33997934935972807,25.40462706030742,94.8011894799761,0.0005908582348569803,0.49680128677033364,26.20921951128451,92.66505720392256,0.000696704614952653,0.5263026895880125,28.376495843351716,75,77,149
S5,48.62660155669532,52.814979620779575,52.4398401979271,108.24774701909448,0.00011781386216989012,0.1473631239819193,26.80627320264161,113.3091289140573,0.0012627365924446328,0.37567672036948424,28.218901903672112,95.3982461780723,0.001094158089685588,0.5420803877895634,30.185288917318637,67,77,157
S6,47.849463102040865,48.1193401303503,48.54960694203557,107.03607806191118,9.65644192405982e-05,0.5924809877384503,27.983208769530812,104.68564024820195,0.0009699271384699482,0.20540232603372036,26.925575659343565,103.85598377451593,0.0006677923146763224,0.129761067660922,27.04756494558683,71,64,175
S7,47.759616041148256,42.362854386819386,45.16422476979891,112.37405575757575,9.744483320316342e-05,0.15202183246865977,25.53317046578772,98.93833225358632,0.0006760700951324131,0.2634114858397873,24.880804494070322,101.22308044806518,0.0007784215431495829,0.21219135126916472,25.964649269018867,64,33,110
S8,48.28599255899448,48.527225200148735,52.07921678186341,113.66196342369105,0.00012602490350652158,0.4206954347332051,27.068819368753044,102.69034562443484,0.0020048342140638123,0.10878858915351218,28.508763334253654,102.16585029069768,0.0007900572552073513,0.5342477792336598,29.274392121254454,92,88,184
S9,47.44480440069571,49.776376261932356,51.01844955133862,108.34613114495384,4.269212998614057e-05,0.16649037328733365,26.36917726385521,103.0987104564115,0.0013498278072446475,0.3167685729252549,27.855335170249994,86.69740949429496,0.0013673908883135252,0.40128933329227306,30.807966212054556,80,39,126
S10,47.522113782685395,47.10260924747163,47.804127718827004,106.59321774124498,7.440048450558223e-05,0.20164767726271204,26.022517060648198,107.39264191635215,0.0017164346938210694,0.16914321750341565,26.061155688968427,105.46919965315412,0.00041481117305120196,0.11113718998190544,26.33122864046636,89.0,64.0,116.0
