minute,test_progress,s1_stress,s2_stress,s3_stress,s4_stress,s5_stress,s6_stress,s7_stress,s8_stress,s9_stress,s10_stress,avg_STRESS
0,0.0,36.92471151290514,49.184430047053866,48.21454664172362,41.25176863899163,43.7812058614974,41.389578807417884,44.01228940324837,51.99969911629614,42.326227783601375,47.58537548002681,44.66698332927622
1,0.0111111111111111,48.15968423850776,43.64380737059745,51.14490807910588,53.74490414869171,44.57304414107799,51.99191257414471,51.332192025856024,50.46920150713061,45.51899867876017,58.445783413363664,49.90244361772359
2,0.0222222222222222,52.8027138547109,53.31273597328777,45.55157948721145,43.33999666861985,53.69234874050781,58.08714687256944,43.73694833668071,44.452757938220095,45.006295075786255,55.705033734078604,49.568755668167285
3,0.0333333333333333,44.019765516413656,61.57786531605129,55.661383110622744,39.75023602265218,37.46455320127897,59.632550137707064,50.661535479810944,46.65588650493823,52.34683390496513,44.17224189464162,49.19428510890818
4,0.0444444444444444,44.520412458359125,50.79660836755526,55.99173632203537,40.01034216808304,43.115787230247726,42.50466688944754,46.81690985538253,49.223536713703616,43.54318379281535,40.59967635035021,45.71228601479797
5,0.0555555555555555,45.72998312828788,45.516347450311606,38.368348942506685,41.07550371454667,51.635757608658764,42.42331399595841,41.620911087680376,46.5343369157398,42.850643733782306,42.33135252317731,43.80864991006498
6,0.0666666666666666,42.57415426876516,35.30265594347846,34.91437314598933,37.81343592400378,53.21546221888567,41.4259143600546,40.482729134922586,44.36471816922701,48.71544124172376,39.61359046641721,41.842247487346754
7,0.0777777777777777,40.734610886184406,34.175650959127786,35.855825303032816,37.37768601246945,38.47484371028582,36.976827692392085,37.540476026052936,44.98647019077237,35.99133776466456,40.42234753440375,38.25360760793859
8,0.0888888888888888,38.897711890128086,34.54265225101492,30.115894696319362,35.62557417159271,36.937311899447096,34.1609511520253,39.615491690472425,36.19121484452361,34.30149487119502,39.34314254574276,35.973144001246126
9,0.1,36.40108558016788,37.21588078078655,30.003019109926452,34.30473207552223,34.26683118794642,32.87066864669777,38.862340564835385,36.519424949049906,33.12692281300437,36.78844214710353,35.03593478550405
10,0.1111111111111111,35.86949021384007,38.248894994657434,28.546292460397748,35.717488993260424,36.75860607134936,38.315192428484515,38.596576288317216,37.05744390513009,33.18271816315221,33.52894981556608,35.58216533341552
11,0.1222222222222222,36.59749611379747,39.33975900618495,26.975312740317772,37.42523917318463,39.02246173758084,39.969825773761734,35.2434955831113,33.93118531912123,37.39435875852223,37.5542375681596,36.34533717737417
12,0.1333333333333333,38.19741005023871,42.96469184040742,28.774798601500283,36.42984817875234,35.27047249340897,39.86534141175614,30.8288726070201,35.230898929496384,38.85779036737147,36.06983436507954,36.24899588450313
13,0.1444444444444444,42.392626609951115,28.218317115872285,30.060145645202084,43.34901399756345,37.679366587669236,37.24924458944722,33.845552271352744,39.471299947971914,35.203713110101944,41.758189197702684,36.92274690728347
14,0.1555555555555555,49.31813055074927,38.524803052899436,35.71976582238782,42.909470818600134,41.92459514400022,48.085323562726195,36.41436860999665,42.821957862748086,39.8761563366271,49.74903399681418,42.53436057575491
15,0.1666666666666666,47.07626779992967,44.867913358843396,40.043679455698715,44.18146072422878,45.84273529945167,49.96294875479515,40.99848742610669,38.784990790446976,41.75389532155871,43.28266240387848,43.67950413349382
16,0.1777777777777777,44.89060451197083,50.045651986365264,51.44920483619698,33.58208140942353,43.57299444069755,48.394214435290195,47.83678005609881,46.7102084898033,43.67698529752918,44.55090252511203,45.47096279884876
17,0.1888888888888888,44.0471088395175,49.00000698089394,51.481612405723446,35.152153080564254,50.90085101760514,42.662147994239284,48.89117913519642,43.40609009475717,43.503358336230946,41.91806057476452,45.09625684594926
18,0.2,42.10563918818384,49.72408780062306,45.94681692979028,40.568156490799154,50.595143541979944,48.68488033656121,44.250781475602935,43.54794894013859,41.63501147392004,40.34740339893596,44.740586957653505
19,0.2111111111111111,42.02650839529718,50.43248915297164,54.97317102810728,36.84888255499068,50.67508857200422,41.742967463550734,44.58374643789592,43.20082153638045,48.47942876456332,45.660346905285195,45.862345081104664
20,0.2222222222222222,45.480351143827725,48.55423364342446,57.85033027212063,35.5567057818159,51.06178618319215,47.653244064292146,48.182296762512216,46.05360242991037,42.352614503143755,40.802186512677416,46.354735129691676
21,0.2333333333333333,47.87503423282276,46.71533115518159,45.35302993673452,41.71220773553736,44.711653998387796,42.105236927659575,48.23366369909943,43.32120867324851,48.145896668160425,44.02538052607098,45.2198643552903
22,0.2444444444444444,47.51821364155942,48.69653041432019,41.51807781126451,41.723553664969565,47.392021757377485,48.274729825175086,43.21476407397412,46.139811403183586,47.69737925578363,48.2218363458036,46.039691819341115
23,0.2555555555555555,47.69637257321042,44.677043924501184,45.45197194290652,45.88354834695224,51.79976861855008,48.86301104240827,38.73299146529852,40.90656517426923,48.1302880608039,48.39619403047674,46.053775517937716
24,0.2666666666666666,41.87089853391843,38.5955669509866,46.6857749286695,46.45679161896286,51.25855849066773,49.078139706495286,41.57001493336039,41.40250390414821,40.67213279016286,49.00181883730323,44.65922006946751
25,0.2777777777777778,40.80713137083764,45.969887638984915,42.588003745853335,44.19697681512768,50.42037754277181,47.260854226497834,38.69653444181172,45.623333060873314,50.222811622295445,48.656142006110336,45.4442052471164
26,0.2888888888888888,43.52790397275292,49.07684904751571,37.73689783807689,41.338708016228395,52.63886526398769,41.77138133405534,40.700066155277966,38.99102750845543,49.12013568993812,48.64931372584556,44.3551148552134
27,0.3,43.69770238419685,48.07422195200726,45.94654522006033,40.208779076845516,52.40361609364032,39.634483454651644,41.05348787744583,39.173220163153935,51.9271076263332,43.59150323840879,44.57106670867437
28,0.3111111111111111,45.00170934783885,48.62825441569282,46.309770197120464,39.28910146192184,53.03398894916776,40.51090826587557,43.6304448993857,46.49639992858028,49.934634030413356,40.065592839942234,45.29008043359388
29,0.3222222222222222,46.551960258065094,53.50180270230235,47.46933362092435,41.95526899422135,52.04981143933575,48.18744768645166,40.96954161458773,41.021341298938815,43.35867147418663,39.73759637375548,45.480277546276916
30,0.3333333333333333,42.85697795383567,49.03369014343003,45.37625743357956,43.196034364344634,52.72577845632393,49.084247049208294,39.694247484804485,43.56777942159601,47.20639148536079,41.05665526401389,45.37980590564972
31,0.3444444444444444,44.52110568132489,44.88485889791824,40.123055724999496,39.75170734462592,52.318520109325,49.15215829959201,41.75408731035976,44.916102422933555,55.22080424089422,40.31930023010397,45.296170026207704
32,0.3555555555555555,43.02678052605833,45.32330035410137,45.22166959652967,45.572057733353425,53.59230605229535,44.749232913430596,42.51716181696797,46.38472747974874,49.252422895697606,46.94291750125537,46.25825768694384
33,0.3666666666666666,41.7183597132885,53.92125254204745,53.11984197968321,51.86803992997154,54.62089414787801,40.10243672587202,41.50207341977094,47.26432717855235,47.601709030357824,49.31827991328914,48.10372145807109
34,0.3777777777777777,44.67740134818897,53.09598244464132,47.27054666792443,45.63086383144891,54.340386049544264,44.82611781655214,44.60319026432368,40.14784411236901,48.69546213902134,45.24618345172846,46.85339781257426
