minute,test_progress,s1_stress,s2_stress,s3_stress,s4_stress,s5_stress,s6_stress,s7_stress,s8_stress,s9_stress,s10_stress,avg_STRESS
20,0.1111111111111111,48.53239376618405,54.964076910375184,45.54503095536045,46.673408657873985,45.52366064027689,37.23721564045772,44.03655985262319,48.05273361681174,39.910216908683985,37.48389867461336,44.79591956232606
21,0.1166666666666666,55.882528428586966,57.919804073624185,50.41758224036181,44.63958203376728,48.41919294147588,41.54083210811101,45.04546176066765,51.392136969269465,42.854125786461374,45.435799311222176,48.35470456535479
22,0.1222222222222222,54.11388360114853,58.50994673314104,44.730828082526386,49.02639495900727,51.75327890323451,45.84086619219761,48.12581852377219,54.453868781378084,44.25397889429215,46.10481465989702,49.69136793305948
23,0.1277777777777777,50.1718753511692,53.804033134572286,48.39047896170528,48.00964156807914,44.05839872120444,52.087721447512756,44.4835535865,53.721324200338785,43.179914566048126,45.87166120887216,48.377860274600216
24,0.1333333333333333,48.836001228384674,56.88512233854828,53.4207587233503,45.21977001173993,50.80900802585925,48.99245524664432,43.45483951941733,55.26176584397465,44.42914398886122,47.719250165040044,49.502811509181996
25,0.1388888888888889,48.81547261967645,55.82547064202378,48.81509004791854,52.652867628552826,57.85023827999595,48.626597866042346,45.9769077142559,49.258642430543375,55.524827843966136,48.17521630055884,51.15213313735341
26,0.1444444444444444,49.60472416865653,52.83540315286959,49.62813436820503,49.69044997084984,48.023597458506686,49.512894057209394,44.13390611720522,52.693297131922805,55.46641161810515,48.0840524790875,49.967287052261774
27,0.15,47.505999466637654,52.59540326105741,54.76817906901042,48.71649836658053,44.07020381081987,50.65979073400458,42.87864643277093,58.968297221251525,53.020609144530596,46.301632333429886,49.94852598400935
28,0.1555555555555555,47.27509391522461,55.75109721551693,37.291734505048474,45.157590540067275,50.96003136657176,49.068128205816436,44.1148894646091,61.304146679170486,53.67309076363157,49.181597325077156,49.37773999807338
29,0.1611111111111111,47.94556190445289,52.00660503586003,38.97391709740082,47.03940026885386,51.54561728092816,49.40415997358789,41.47671611858814,53.00354813462019,53.50931676476415,46.77931720601655,48.16841597850727
30,0.1666666666666666,47.29468898799288,54.55914072247409,44.59084144722152,52.37504094422224,49.311907767134045,47.92454642662745,43.68070574973717,48.94922324459305,55.414655572799006,47.694733995386976,49.17954848581884
31,0.1722222222222222,48.57907121755992,56.73245633033557,43.427924346265534,47.8759085691536,47.984832553051184,49.903192829549766,44.563284653167045,47.78130306829794,52.78248423623927,47.308078414781214,48.6938536218401
32,0.1777777777777777,48.21985448839764,54.61878359822392,56.4952846811156,41.37005878387517,50.76191485773004,49.8213245893362,41.54103234520018,45.952428486083555,51.349939655435556,48.42010072371631,48.85507222091141
33,0.1833333333333333,45.971406473573104,51.9651132692991,58.6749083861956,45.98721690236672,53.73548972048261,48.30257469661131,43.55306951205146,47.997521721297915,52.6580179405843,45.38076790080306,49.422608652326524
34,0.1888888888888888,45.370209566236234,51.574673229972255,43.103294548960264,50.486186617169814,54.15284294376098,48.310083157195066,41.83819404709441,46.60445820126693,52.49884649388122,46.53231844915777,48.047110725469494
35,0.1944444444444444,55.541504963282534,54.606169131744366,44.18422538119197,48.00103297681003,54.543422293674354,48.00449100694117,44.999278834611495,43.54871099181753,51.54483531127684,45.57642540673111,49.05500962980814
36,0.2,57.44214390211434,57.00156227424626,36.0668174406571,47.09424450226334,51.95537260633785,46.86052780889926,43.06057149748008,47.14814170873157,54.45504206811162,47.9625587100201,48.90469825188616
37,0.2055555555555555,56.83869894245413,53.19984292639227,44.338305407949996,46.44712948550684,51.81596203942437,46.526234958783164,44.80369016127228,43.39199014186013,51.75687912763315,48.283173578618054,48.74019067698944
38,0.2111111111111111,56.36799174076895,58.05902490005318,50.64738596621439,48.35941618476741,52.30118016750819,45.60939011081583,44.14018001977329,46.17080524848715,53.08362657814985,48.60747201112836,50.33464729276666
39,0.2166666666666666,57.16881472662595,57.44447930377725,49.95746939575242,48.60459495751891,55.08460486243553,47.9961783288781,42.7538099229428,42.199617121200305,50.57931716346178,48.2849946238498,50.007388040644294
40,0.2222222222222222,53.44883516195736,57.83595594493272,53.94229206321672,46.08746769090147,56.833291318740216,46.545083178811375,44.590245110192654,48.24295580532492,52.602425213788386,50.41024358839243,51.05387950762582
41,0.2277777777777777,49.3489813075156,55.67728167426018,51.49167790704857,49.13176559028625,55.929576154300584,47.25808912010333,45.384803175261986,50.356327148785226,52.69062678905664,49.97659011390029,50.72457189805186
42,0.2333333333333333,51.27861773016853,56.4601702550215,49.81040887396467,48.43193399518691,55.50072298035988,47.01627715551126,46.28121212579206,48.32621076016951,49.77119747462947,48.4530869873158,50.132983833811956
43,0.2388888888888889,50.748644352732846,56.25980774312665,48.47114437927946,40.9490918298879,52.16880681300455,45.933991063020166,46.2947097778829,47.93262409012721,50.84869278588676,47.62263613889956,48.7230148973848
44,0.2444444444444444,54.91327425140168,53.03319079968798,53.19429065808796,47.785083609708295,60.20653443394775,47.91342769069118,46.4739719660684,45.6261016776781,51.05213705637278,46.960143634099346,50.71581557777434
45,0.25,52.06081168025215,55.205429271925645,55.06713226083392,52.451414028342725,49.70640872716004,49.020928048844944,45.56745263249267,43.69373932612526,51.961655980344084,44.55766400222075,49.929263595854216
46,0.2555555555555555,46.860678035934335,53.16084455217836,55.16094301328561,48.51220453930085,49.10407900541394,46.034776142122276,47.88584694310481,50.07400263816652,51.59449371583039,54.303752425086465,50.26916210104236
47,0.2611111111111111,49.644045271157815,57.73290253426967,48.90194905872331,47.85707495683564,54.88598633652608,49.63117312515626,44.052326714194386,51.684934255567036,50.23974502923769,51.10683079045432,50.573696807212215
48,0.2666666666666666,54.47604267618535,55.418242663569735,50.556679074674584,50.23343612148332,57.45870961989789,46.71920881386195,45.854284064718456,48.08798861775563,51.30242858381474,46.19507162226327,50.630209185822494
49,0.2722222222222222,55.490733063103356,58.79893323196376,43.936991514762724,49.57777564952656,58.851788180401776,45.247206704589665,44.57085310092199,54.470723242527804,52.39193754243175,59.90195132528434,52.32388935555137
50,0.2777777777777778,54.53878989876418,57.668724021659976,50.60497648803736,57.703456631946096,56.813718024643556,49.079938567888746,49.67815904474691,53.07623136553919,52.76252856847098,50.01206785634293,53.19385904680399
51,0.2833333333333333,53.32085025786292,56.36601059506734,46.6342055175026,47.21400323365341,55.26512928007813,50.78375174995622,47.36615147794737,53.737439274290004,53.01448626611747,45.67960710414322,50.93816347566186
52,0.2888888888888888,50.489708054727345,58.54442517513737,44.556781355269756,43.490382899540485,55.99132606119617,49.27996377211161,45.68456248801588,50.12109774005549,52.52355123411829,48.041434438376086,49.87232332185484
53,0.2944444444444444,52.72816202753953,60.25490815640202,48.44767782805851,44.37522959849159,53.009318326080376,48.951077912627966,41.97518854994741,51.041767727077364,52.313351171659065,49.02587078795877,50.21225520858426
54,0.3,51.295750094056416,57.49386533374406,57.244153245997644,47.11439023428795,49.875208918264114,49.1786542976857,44.625811038996204,44.3115445325007,52.337193559036756,47.00118125188444,50.047775250645394
55,0.3055555555555556,49.57426532393628,51.648277328923065,55.866927893706674,52.24704349353434,53.6814856605836,47.676518057034265,42.517597360171926,52.613812987397125,56.811872400482365,47.08697028102055,50.97247707867902
56,0.3111111111111111,47.50822272537139,51.18533194184746,50.643223847985325,46.020257142404205,50.209680268355875,47.57598571799994,43.76820905032306,51.63802172351725,52.909445238489006,51.94385800234121,49.34022356586347
57,0.3166666666666666,46.93672989958528,56.827564109072206,53.484393284219436,52.47128263664712,56.71495644627844,48.649598778528485,44.28371040271588,49.40453958906619,54.01117798635715,44.38921856479212,50.71731716972623
58,0.3222222222222222,48.82107904664957,52.990292964144,45.583188498596336,48.329510387550044,52.28754627029914,47.075125042557545,57.83653154612859,50.49450257866133,53.462255872583306,48.40179773251563,50.52818299396855
59,0.3277777777777778,50.477615328381994,56.138503279418266,51.06030741895529,52.30967866646811,51.9602694092226,47.95969763011462,53.256385794572715,55.52478640905286,52.81043063602275,49.21251660005123,52.071019117226044
