minute,test_progress,s1_stress,s2_stress,s3_stress,s4_stress,s5_stress,s6_stress,s7_stress,s8_stress,s9_stress,s10_stress,avg_STRESS
19,0.2111111111111111,46.181404572259076,61.49968419065067,45.63402703291194,50.58767983421371,47.65739789797441,52.17639616746789,50.49662712319405,50.60455354661025,54.834436526712615,41.82880157413078,50.150100846612546
20,0.2222222222222222,51.96429472545316,58.8960146237225,42.46948658893905,49.4340141984371,54.03094192738346,52.24730519632345,41.9808526590105,52.73830595424403,47.870572729430684,43.503557622947824,49.51353462258918
21,0.2333333333333333,54.092786028398336,53.40626372736346,51.33096546266148,52.67859231251075,54.244454480973225,47.894338277519786,45.31179848271777,51.35055915279502,44.4997917620606,46.18773836497342,50.099728805197394
22,0.2444444444444444,57.73306661466207,61.41013041919515,53.55991714507013,50.658870295384496,55.57831556627813,42.80646298190171,48.486701029578,45.83274654427675,43.98555625846152,53.07943416138005,51.3131201016188
23,0.2555555555555555,54.88365778774636,56.17172062046554,52.980550489624164,48.98633519215409,50.23791128232441,43.71405304504551,50.83772325133415,47.277336838526445,45.037415314655334,58.56286335228649,50.868956717416246
24,0.2666666666666666,46.88124686102492,45.68490649174853,44.96362800218811,52.89408246852107,53.8837367507438,42.7444054066674,50.1895211585803,42.16832012195528,48.297342086750916,54.996045813834115,48.27032351620144
25,0.2777777777777778,44.764234347141176,44.46312804402664,42.925150478615556,58.6798934482593,51.367403418858366,41.94689725311054,55.51306282049931,44.01228780608418,45.20346657060122,54.10921889790759,48.29847430851039
26,0.2888888888888888,43.6245029106336,43.49942970899236,43.31063355314461,48.40616810611144,43.15219299624542,43.34122168194974,58.55852508732935,42.38658999879366,43.11369061809852,50.40680994801414,45.97997646093129
27,0.3,43.44291443410143,43.93376739796677,43.147380296347045,42.75594198597205,43.203192361203094,43.422897699828944,56.04810711990268,41.750096885723174,43.5255144989462,48.95337244483446,45.01831851248259
28,0.3111111111111111,44.097482618881024,44.45657462745879,39.09532772001897,43.980325507867356,43.52231849288432,40.9163354445152,53.764440293550656,43.71780805930217,43.20455742189219,46.10107772949988,44.28562479158706
29,0.3222222222222222,41.36279603110865,50.22357123727601,39.05313431539773,47.27108784132321,41.96543706993907,37.8976576227283,42.56543124504136,40.8187009558413,42.98161735193912,42.53448133858264,42.66739150091773
30,0.3333333333333333,39.24359020511938,47.17035023714513,43.22898267603231,49.07422626835146,39.25175105283987,44.031231639979495,42.74142312722888,38.723720787493825,44.32554422189367,48.914183223323086,43.67050034394071
31,0.3444444444444444,40.516849994175566,38.11417759652349,45.81496683939591,44.684408422863775,42.97941799941939,56.82377619583246,42.13671659724985,41.2595333867632,45.74790621294479,58.972612927819206,45.70503661729877
32,0.3555555555555555,47.451263028690214,43.538419067299834,53.99002430146863,41.481042006666705,45.77212035821697,57.617059361059916,42.43013690970427,43.54544350963506,44.86202213997145,57.44536100841103,47.81328916911241
33,0.3666666666666666,46.48592082690423,45.085684215947,53.54123359955373,44.265988791607874,43.26022550833096,50.75212472881868,42.86707213019027,49.13852991316327,46.53965884042616,61.691096061903075,48.36275346168452
34,0.3777777777777777,48.33292827387144,51.72746588712918,51.08617807542828,42.88693445769028,48.31473888681793,50.168086967089515,46.816933301357516,48.474165472804124,45.04257095542196,51.390376001361496,48.42403782789717
35,0.3888888888888889,46.33520583644373,54.884417241898355,43.65336963922289,43.463542133081624,46.32594095516831,44.10646821490985,43.46737241246802,48.26211807519567,43.993429475386996,47.744917252278185,46.22367812360536
36,0.4,44.054172925565844,62.38646414165879,42.66535113112213,42.49841163423046,51.30043893683658,44.08578618767331,54.27625948091107,44.91762808174098,42.51002553795521,43.29984113139444,47.19943791890888
37,0.4111111111111111,43.14235980703952,57.56334904943674,43.08703462943398,48.13728068575119,52.77088223227374,50.04688793965226,56.79117485468694,48.98501035755557,43.874812318896495,40.931621802565665,48.533041367729204
38,0.4222222222222222,42.73708161072941,61.42129811053891,42.54454287854105,54.223936381508985,58.851355242537664,53.023269738197456,59.360421304694434,47.430368003215015,52.69359028324093,47.978660618165996,52.02645241713699
39,0.4333333333333333,48.03998355694762,62.214573793979575,42.18772398568333,61.33375786015946,59.47834636553353,56.93072393342229,60.52936112478165,48.758421362015184,45.49618166694373,43.286594984471655,52.8255668633938
40,0.4444444444444444,51.06137370055017,58.02516145276869,41.97056997151696,62.71958590588656,62.68515137309232,55.415539206874996,60.74677658835606,51.30277576003033,52.19383584306428,52.97776259001807,54.90985323921584
41,0.4555555555555555,49.85580019148491,56.52485102695322,43.16055929604308,55.597781402597114,52.521410169166224,50.605047714729245,60.74369808683711,51.15150205782286,55.871847761377836,50.44306662806304,52.647556433507475
42,0.4666666666666667,50.54455665560649,62.19371287539715,42.302749264271036,50.988651611095186,47.93657308603682,49.075676538410285,55.09535426020631,48.102453845592116,46.83546796032632,52.88958860987187,50.596478470681355
43,0.4777777777777778,50.71806509219752,61.16411272976424,44.24221083682557,55.06167939022914,49.17544176074358,44.75280512957747,52.512185366715585,43.58360547024193,44.31007290146908,52.56390566922503,49.80840843469892
